FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Rothia_mucilaginosa,0,0,0,0,1.2251896563211383e-5,2.0995207137401417e-5,0,0,0,0,9.712843292685918e-6,0,1.2255111317431629e-4,0,1.4767920620517886e-4,0,9.286821516264693e-4,0
Streptococcus_vestibularis,0,0,0,0,0.0011429703174010751,4.2838297639967123e-4,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_bolteae,0.1356247978000647,0,4.9651750506559734e-5,6.731841459615723e-4,0,0.028206657035115393,1.0353197682008412e-4,0,0,0,0,0,4.5777648702426154e-4,4.551427489489237e-6,0,0,3.298283732866646e-4,7.984965567775685e-4
Enterococcus_faecalis,0,0,0,0,0.011053033296199624,0,0,0,0,0,0,0,0,0.001021643757140684,0,0,0,0
Veillonella_atypica,0,0,0,1.9061846159865685e-5,0,0.0033240056069315676,0,0,0,0,0,0,0.007891452857768181,0,0,0,0,0
Dorea_longicatena,0,0.0019054120667491635,0.004799598183086888,0.00440519264754496,0,0,0,0,3.458880058324012e-4,0.030442787594977372,0.008933212386738986,0.015457186285964096,0.08828764280708337,0,0.0017888271739383774,0.018151430488378847,0.0017919229659667738,0.005020951152606112
Bifidobacterium_bifidum,0,0.10988706823518675,0.005076731666064488,0.003970783206112231,0,0,0.011424065772027207,0.09612065063268066,0.0860480581925508,0.11155831965974676,0.2873896152882957,0.14975544353887396,2.934884338039344e-4,0,0,0,2.789071478174608e-4,0
Blautia_wexlerae,9.462956971853769e-5,0.003964930250970818,9.640537308655631e-4,0.021722980209289037,0,0,8.123896144272363e-4,0.017883688654480853,9.47484641700807e-4,0.03675867120610358,0.00547393818846661,0.03729990147568692,0.0049412240564766265,0.06753630623136948,0.001285713252390394,0.018738846997326284,0.0011271236797916041,0.003804041999778034
Bifidobacterium_longum,0.041987018764154,0.29084637681507486,0.0015379256798533974,0,0.09699370860048712,2.8464655830515384e-5,0.03113701608591688,0.033895470554887584,0.2213151179010169,0.009315717783589651,0.46309234701045193,0.09161208441230832,0.018653957086446512,0,0.09263655403933772,0.032468230840868806,0.048326057984251526,0.011638695269235645
Bifidobacterium_pseudocatenulatum,3.095681009382077e-4,0.3136570842682271,0,0,0,0.027271159055550796,0.07587889711030303,0.034036971243366146,0.3516540751208228,0.0019940410366005635,0,0,0,0,0,0.0056231161314226775,0.02265601280351193,0.05214996123603945
