FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Streptococcus_anginosus,Species,Streptococcus_anginosus,0,0,0.003931651488609558,0,0,0.0074391671443580975,0,0,0,0.17762796040752266,0,0.005182306275510759,0.022975776309642267,0,0,0,0,0
Corynebacterium_durum,Species,Corynebacterium_durum,0,0,0,0.007283631743190783,0,0,0,0,0.004969885599445858,0.020392576139803643,0,0,0,0,0.051175365742121164,0,0,0
Eubacterium_rectale,Species,Eubacterium_rectale,0.11187722419928826,0.4914283975945837,0,0.01627279709015902,0,3.873979095435632,14.97594563556985,0.5549915377138193,0.06071075977226301,2.1796595983765346,0.005407149874278759,0.7753597266645991,5.2327893175529505,5.607672209833349,0.05827803232627501,17.147354823204253,0,43.53301351439661
Lacticaseibacillus_rhamnosus,Species,Lacticaseibacillus_rhamnosus,0.07050711743772242,0,0,0,0.3775406737652063,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus_comes,Species,Coprococcus_comes,0.2969204949854416,0.193983577091185,0.6341039974027659,0,0,0,3.619461842592031,2.0752357747652193,0.016412646394944184,0.476658922032785,0.5069603536756654,1.5571922950196222,0,0.6699802407361256,0,2.269544667087251,0,0.5196582366686151
Faecalibacterium_prausnitzii,Species,Faecalibacterium_prausnitzii,0.27293958265933355,0,2.784823910493024,0.3494437703127798,0,4.240607900072504,0.0787887381309777,0.06915568598110693,0.9442181443108486,0.652071169890211,0,0.021324081269854585,1.038298450424034,0.2280973172065806,2.2243904164031214,1.668058601456024,2.5915172901760655,0.9944629632798664
Latilactobacillus_sakei,Species,Latilactobacillus_sakei,0,0,0.003185809742802867,0.0015249476927892546,0.8236312150782977,0,0,0,0,0,0,0.1006012685156544,0,0,0,0,0,0
GGB51647_SGB4348,Species,GGB51647_SGB4348,0,0,0.6402092448362978,0,0,0,1.4937726168666141,0,0,0.008732514168028008,0,0,0,0,0.5173092085117874,0,0,0
Actinomyces_johnsonii,Species,Actinomyces_johnsonii,0,0,0,0,0,0,0,6.25751974726887e-4,0,0.008000627217091105,0,0.012633131835048604,0,0,0.007544699582319001,0,0,0
Ruminococcus_lactaris,Species,Ruminococcus_lactaris,0,0,0,0,0,0,0,0,0,0,0.00524693802615198,0.0569448751830443,0,0,0,0,0,0
Lactococcus_cremoris,Species,Lactococcus_cremoris,0,0,0,0,0.019349896142394175,0,0,0.03055082624997237,0,0,0,0,0,0,0,0,0,0
Mediterraneibacter_glycyrrhizinilyticus,Species,Mediterraneibacter_glycyrrhizinilyticus,0.07797840504691039,0.005013452263228459,0,0.009350337168944641,0,0.1891789289274891,0,0,0,0.0049226916836989125,0,0.02848251989945116,0,0.08310906595807346,6.630494972477419e-4,0,0,1.7293119689720189
Phocaeicola_dorei,Species,Phocaeicola_dorei,2.643450744095762,0,0.03618397955370748,2.591136943814205,0.03349526762901096,0.6446336099149058,8.435195007649919e-4,0.020670000713559105,0,0,0,0,0,0,0.2191479050448824,0.049769179159031056,0,0
Actinomyces_massiliensis,Species,Actinomyces_massiliensis,0,0,0,0,0,0,0,0,0,0,0.14123675736426278,0.02054774355932087,0,0,0,0,0,0
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,Species,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0,0,0,0,0,0.016402505576094857,0,0,0,0.006085690126283584,0,0.004174075482609833,0,0,0,0,0,0
Bifidobacterium_animalis,Species,Bifidobacterium_animalis,0,0,0,0,0,0,0,0,7.029141665687219,0,0,0,0,0,0.01258789424320334,0,0,0
